year;state;month;number
2018;Minas Gerais;Setembro;1860
2019;Minas Gerais;Setembro;3.833
2020;Minas Gerais;Setembro;3.467
2021;Minas Gerais;Setembro;5.638
2022;Minas Gerais;Setembro;2.518
2012;Minas Gerais;Outubro;4.038
2013;Minas Gerais;Outubro;1.157
2014;Minas Gerais;Outubro;4.373
2015;Minas Gerais;Outubro;3.393
2016;Minas Gerais;Outubro;911
2017;Minas Gerais;Outubro;2.336
2018;Minas Gerais;Outubro;840
2019;Minas Gerais;Outubro;2.049
2020;Minas Gerais;Outubro;2.404
2021;Minas Gerais;Outubro;1.627
2022;Minas Gerais;Outubro;1.481
2012;Minas Gerais;Novembro;258
2013;Minas Gerais;Novembro;244
2014;Minas Gerais;Novembro;349
2015;Minas Gerais;Novembro;1340
2016;Minas Gerais;Novembro;113
2017;Minas Gerais;Novembro;145
2018;Minas Gerais;Novembro;86
2019;Minas Gerais;Novembro;892
2020;Minas Gerais;Novembro;281
2021;Minas Gerais;Novembro;140
2022;Minas Gerais;Novembro;154
2012;Minas Gerais;Dezembro;238
2013;Minas Gerais;Dezembro;80
2014;Minas Gerais;Dezembro;123
2015;Minas Gerais;Dezembro;248
2016;Minas Gerais;Dezembro;90
2017;Minas Gerais;Dezembro;61
2018;Minas Gerais;Dezembro;92
2019;Minas Gerais;Dezembro;118
2020;Minas Gerais;Dezembro;97
2021;Minas Gerais;Dezembro;45
2022;Minas Gerais;Dezembro;34
2012;Pará;Janeiro;534
2013;Pará;Janeiro;291
2014;Pará;Janeiro;570
2015;Pará;Janeiro;866
2016;Pará;Janeiro;1.479
2017;Pará;Janeiro;213
2018;Pará;Janeiro;536
2019;Pará;Janeiro;355
2020;Pará;Janeiro;225
2021;Pará;Janeiro;248
2022;Pará;Janeiro;202
2012;Pará;Fevereiro;78
2013;Pará;Fevereiro;47
2014;Pará;Fevereiro;30
2015;Pará;Fevereiro;92
2016;Pará;Fevereiro;370
2017;Pará;Fevereiro;14
2018;Pará;Fevereiro;36
2019;Pará;Fevereiro;80
2020;Pará;Fevereiro;64
2021;Pará;Fevereiro;272
2022;Pará;Fevereiro;70
2012;Pará;Março;16
2013;Pará;Março;20
2014;Pará;Março;17
2015;Pará;Março;31
2016;Pará;Março;53
2017;Pará;Março;18
2018;Pará;Março;51
2019;Pará;Março;46
2020;Pará;Março;63
2021;Pará;Março;34
2022;Pará;Março;34
2012;Pará;Abril;24
2013;Pará;Abril;29
2014;Pará;Abril;23
2015;Pará;Abril;22
2016;Pará;Abril;51
2017;Pará;Abril;42
2018;Pará;Abril;13
2019;Pará;Abril;38
2020;Pará;Abril;38
2021;Pará;Abril;55
2022;Pará;Abril;37
2012;Pará;Maio;98
2013;Pará;Maio;74
2014;Pará;Maio;55
2015;Pará;Maio;84
2016;Pará;Maio;148
2017;Pará;Maio;121
2018;Pará;Maio;78
2019;Pará;Maio;80
2020;Pará;Maio;88
2021;Pará;Maio;190
2022;Pará;Maio;225
2012;Pará;Junho;305
2013;Pará;Junho;323
2014;Pará;Junho;284
2015;Pará;Junho;241
2016;Pará;Junho;509
2017;Pará;Junho;486
2018;Pará;Junho;454
2019;Pará;Junho;315
2020;Pará;Junho;491
2021;Pará;Junho;424
2022;Pará;Junho;556
2012;Pará;Julho;1.041
2013;Pará;Julho;793
2014;Pará;Julho;813
2015;Pará;Julho;882
2016;Pará;Julho;1.732
2017;Pará;Julho;3.696
2018;Pará;Julho;929
2019;Pará;Julho;1.443
2020;Pará;Julho;2.687
2021;Pará;Julho;1.372
2022;Pará;Julho;1.681
2012;Pará;Agosto;9.168
2013;Pará;Agosto;3.173
2014;Pará;Agosto;8.147
2015;Pará;Agosto;7.672
2016;Pará;Agosto;5.185
2017;Pará;Agosto;8.781
2018;Pará;Agosto;2.782
2019;Pará;Agosto;10.185
2020;Pará;Agosto;10.865
2021;Pará;Agosto;7.853
2022;Pará;Agosto;12.472
2012;Pará;Setembro;8190
2013;Pará;Setembro;4.363
2014;Pará;Setembro;6.636
2015;Pará;Setembro;9.394
2016;Pará;Setembro;3.878
2017;Pará;Setembro;15.735
2018;Pará;Setembro;4.892
2019;Pará;Setembro;4.618
2020;Pará;Setembro;10.876
2021;Pará;Setembro;3.828
2022;Pará;Setembro;12.696
2012;Pará;Outubro;5.946
2013;Pará;Outubro;5510
2014;Pará;Outubro;6.241
2015;Pará;Outubro;7.379
2016;Pará;Outubro;5.954
2017;Pará;Outubro;6.146
2018;Pará;Outubro;5.028
2019;Pará;Outubro;3870
2020;Pará;Outubro;8.052
2021;Pará;Outubro;4.291
2022;Pará;Outubro;7.469
2012;Pará;Novembro;8.871
2013;Pará;Novembro;3.844
2014;Pará;Novembro;7.908
2015;Pará;Novembro;9.783
2016;Pará;Novembro;7.314
2017;Pará;Novembro;9.639
2018;Pará;Novembro;6.276
2019;Pará;Novembro;7390
2020;Pará;Novembro;2970
2021;Pará;Novembro;3.659
2022;Pará;Novembro;4.507
2012;Pará;Dezembro;2950
2013;Pará;Dezembro;5.579
2014;Pará;Dezembro;4.802
2015;Pará;Dezembro;6.718
2016;Pará;Dezembro;3.051
2017;Pará;Dezembro;4.879
2018;Pará;Dezembro;1.005
2019;Pará;Dezembro;1.745
2020;Pará;Dezembro;2.184
2021;Pará;Dezembro;650
2022;Pará;Dezembro;1.472
2012;Paraiba;Janeiro;54
2013;Paraiba;Janeiro;39
2014;Paraiba;Janeiro;64
2015;Paraiba;Janeiro;36
2016;Paraiba;Janeiro;16
2017;Paraiba;Janeiro;23
2018;Paraiba;Janeiro;42
2019;Paraiba;Janeiro;42
2020;Paraiba;Janeiro;63
2021;Paraiba;Janeiro;40
2022;Paraiba;Janeiro;19
2012;Paraiba;Fevereiro;19
2013;Paraiba;Fevereiro;11
2014;Paraiba;Fevereiro;5
2015;Paraiba;Fevereiro;15
2016;Paraiba;Fevereiro;3
2017;Paraiba;Fevereiro;8
2018;Paraiba;Fevereiro;3
2019;Paraiba;Fevereiro;7
2020;Paraiba;Fevereiro;16
2021;Paraiba;Fevereiro;29
2022;Paraiba;Fevereiro;3
2012;Paraiba;Março;11
2013;Paraiba;Março;5
2014;Paraiba;Março;16
2015;Paraiba;Março;6
2016;Paraiba;Março;3
2017;Paraiba;Março;4
2018;Paraiba;Março;3
2019;Paraiba;Março;4
2020;Paraiba;Março;3
2021;Paraiba;Março;10
2022;Paraiba;Março;3
2012;Paraiba;Abril;13
2013;Paraiba;Abril;7
2014;Paraiba;Abril;7
2015;Paraiba;Abril;11
2016;Paraiba;Abril;1
2017;Paraiba;Abril;1
2018;Paraiba;Abril;4
2019;Paraiba;Abril;0
2020;Paraiba;Abril;1
2021;Paraiba;Abril;3
2022;Paraiba;Abril;0
2012;Paraiba;Maio;8
2013;Paraiba;Maio;4
2014;Paraiba;Maio;1
2015;Paraiba;Maio;6
2016;Paraiba;Maio;1
2017;Paraiba;Maio;1
2018;Paraiba;Maio;1
2019;Paraiba;Maio;3
2020;Paraiba;Maio;0
2021;Paraiba;Maio;3
2022;Paraiba;Maio;0
2012;Paraiba;Junho;5
2013;Paraiba;Junho;3
2014;Paraiba;Junho;0
2015;Paraiba;Junho;0
2016;Paraiba;Junho;3
2017;Paraiba;Junho;0
2018;Paraiba;Junho;1
2019;Paraiba;Junho;2
2020;Paraiba;Junho;4
2021;Paraiba;Junho;11
2022;Paraiba;Junho;4
2012;Paraiba;Julho;4
2013;Paraiba;Julho;1
2014;Paraiba;Julho;9
2015;Paraiba;Julho;2
2016;Paraiba;Julho;20
2017;Paraiba;Julho;1
2018;Paraiba;Julho;3
2019;Paraiba;Julho;4
2020;Paraiba;Julho;5
2021;Paraiba;Julho;1
2022;Paraiba;Julho;3
2012;Paraiba;Agosto;19
2013;Paraiba;Agosto;3
2014;Paraiba;Agosto;28
2015;Paraiba;Agosto;5
2016;Paraiba;Agosto;50
2017;Paraiba;Agosto;2
2018;Paraiba;Agosto;45
2019;Paraiba;Agosto;41
2020;Paraiba;Agosto;50
2021;Paraiba;Agosto;25
2022;Paraiba;Agosto;24
2012;Paraiba;Setembro;58
2013;Paraiba;Setembro;21
2014;Paraiba;Setembro;49
2015;Paraiba;Setembro;47
2016;Paraiba;Setembro;111
2017;Paraiba;Setembro;22
2018;Paraiba;Setembro;70
2019;Paraiba;Setembro;139
2020;Paraiba;Setembro;156
2021;Paraiba;Setembro;105
2022;Paraiba;Setembro;46
2012;Paraiba;Outubro;148
2013;Paraiba;Outubro;53
2014;Paraiba;Outubro;67
2015;Paraiba;Outubro;113
2016;Paraiba;Outubro;283
2017;Paraiba;Outubro;102
2018;Paraiba;Outubro;209
2019;Paraiba;Outubro;332
2020;Paraiba;Outubro;248
2021;Paraiba;Outubro;250
2022;Paraiba;Outubro;131
2012;Paraiba;Novembro;139
2013;Paraiba;Novembro;87
2014;Paraiba;Novembro;91
2015;Paraiba;Novembro;190
2016;Paraiba;Novembro;130
2017;Paraiba;Novembro;114
2018;Paraiba;Novembro;185
2019;Paraiba;Novembro;351
2020;Paraiba;Novembro;181
2021;Paraiba;Novembro;319
2022;Paraiba;Novembro;340
2012;Paraiba;Dezembro;70
2013;Paraiba;Dezembro;72
2014;Paraiba;Dezembro;58
2015;Paraiba;Dezembro;109
2016;Paraiba;Dezembro;87
2017;Paraiba;Dezembro;85
2018;Paraiba;Dezembro;193
2019;Paraiba;Dezembro;259
2020;Paraiba;Dezembro;183
2021;Paraiba;Dezembro;111
2022;Paraiba;Dezembro;227
2012;Paraná;Janeiro;46
2013;Paraná;Janeiro;49
2014;Paraná;Janeiro;70
2015;Paraná;Janeiro;87
2016;Paraná;Janeiro;124
2017;Paraná;Janeiro;53
2018;Paraná;Janeiro;16
2019;Paraná;Janeiro;92
2020;Paraná;Janeiro;39
2021;Paraná;Janeiro;16
2022;Paraná;Janeiro;55
2012;Paraná;Fevereiro;77
2013;Paraná;Fevereiro;20
2014;Paraná;Fevereiro;57
2015;Paraná;Fevereiro;42
2016;Paraná;Fevereiro;20
2017;Paraná;Fevereiro;64
2018;Paraná;Fevereiro;75
2019;Paraná;Fevereiro;24
2020;Paraná;Fevereiro;49
2021;Paraná;Fevereiro;103
2022;Paraná;Fevereiro;92
2012;Paraná;Março;88
2013;Paraná;Março;36
2014;Paraná;Março;40
2015;Paraná;Março;43
2016;Paraná;Março;63
2017;Paraná;Março;45
2018;Paraná;Março;21
2019;Paraná;Março;45
2020;Paraná;Março;147
2021;Paraná;Março;77
2022;Paraná;Março;39
2012;Paraná;Abril;63
2013;Paraná;Abril;137
2014;Paraná;Abril;37
2015;Paraná;Abril;77
2016;Paraná;Abril;162
2017;Paraná;Abril;103
2018;Paraná;Abril;158
2019;Paraná;Abril;59
2020;Paraná;Abril;309
2021;Paraná;Abril;228
2022;Paraná;Abril;61
2012;Paraná;Maio;160
2013;Paraná;Maio;134
2014;Paraná;Maio;111
2015;Paraná;Maio;74
2016;Paraná;Maio;77
2017;Paraná;Maio;47
2018;Paraná;Maio;241
2019;Paraná;Maio;47
2020;Paraná;Maio;319
2021;Paraná;Maio;280
2022;Paraná;Maio;123
2012;Paraná;Junho;132
2013;Paraná;Junho;97
2014;Paraná;Junho;114
2015;Paraná;Junho;201
2016;Paraná;Junho;261
2017;Paraná;Junho;138
2018;Paraná;Junho;158
2019;Paraná;Junho;266
2020;Paraná;Junho;238
2021;Paraná;Junho;106
2022;Paraná;Junho;110
2012;Paraná;Julho;203
2013;Paraná;Julho;311
2014;Paraná;Julho;213
2015;Paraná;Julho;131
2016;Paraná;Julho;552
2017;Paraná;Julho;708
2018;Paraná;Julho;481
2019;Paraná;Julho;418
2020;Paraná;Julho;337
2021;Paraná;Julho;598
2022;Paraná;Julho;311
2012;Paraná;Agosto;821
2013;Paraná;Agosto;701
2014;Paraná;Agosto;664
2015;Paraná;Agosto;640
2016;Paraná;Agosto;994
2017;Paraná;Agosto;789
2018;Paraná;Agosto;672
2019;Paraná;Agosto;1.144
2020;Paraná;Agosto;801
2021;Paraná;Agosto;1.195
2022;Paraná;Agosto;509
2012;Paraná;Setembro;544
2013;Paraná;Setembro;545
2014;Paraná;Setembro;420
2015;Paraná;Setembro;604
2016;Paraná;Setembro;1.428
2017;Paraná;Setembro;1120
2018;Paraná;Setembro;310
2019;Paraná;Setembro;731
2020;Paraná;Setembro;702
2021;Paraná;Setembro;725
2022;Paraná;Setembro;85
2012;Paraná;Outubro;227
2013;Paraná;Outubro;238
2014;Paraná;Outubro;373
2015;Paraná;Outubro;142
2016;Paraná;Outubro;166
2017;Paraná;Outubro;108
2018;Paraná;Outubro;112
2019;Paraná;Outubro;310
2020;Paraná;Outubro;352
2021;Paraná;Outubro;55
2022;Paraná;Outubro;158
2012;Paraná;Novembro;219
2013;Paraná;Novembro;113
2014;Paraná;Novembro;59
2015;Paraná;Novembro;23
2016;Paraná;Novembro;260
2017;Paraná;Novembro;319
2018;Paraná;Novembro;116
2019;Paraná;Novembro;97
2020;Paraná;Novembro;186
2021;Paraná;Novembro;210
2022;Paraná;Novembro;171
2012;Paraná;Dezembro;88
2013;Paraná;Dezembro;150
2014;Paraná;Dezembro;75
2015;Paraná;Dezembro;23
2016;Paraná;Dezembro;44
2017;Paraná;Dezembro;98
2018;Paraná;Dezembro;151
2019;Paraná;Dezembro;81
2020;Paraná;Dezembro;40
2021;Paraná;Dezembro;105
2022;Paraná;Dezembro;57
2012;Pernambuco;Janeiro;161
2013;Pernambuco;Janeiro;56
2014;Pernambuco;Janeiro;81
2015;Pernambuco;Janeiro;101
2016;Pernambuco;Janeiro;22
2017;Pernambuco;Janeiro;52
2018;Pernambuco;Janeiro;35
2019;Pernambuco;Janeiro;67
2020;Pernambuco;Janeiro;105
2021;Pernambuco;Janeiro;63
2022;Pernambuco;Janeiro;47
2012;Pernambuco;Fevereiro;75
2013;Pernambuco;Fevereiro;33
2014;Pernambuco;Fevereiro;20
2015;Pernambuco;Fevereiro;48
2016;Pernambuco;Fevereiro;22
2017;Pernambuco;Fevereiro;24
2018;Pernambuco;Fevereiro;7
2019;Pernambuco;Fevereiro;9
2020;Pernambuco;Fevereiro;36
2021;Pernambuco;Fevereiro;59
2022;Pernambuco;Fevereiro;29
2012;Pernambuco;Março;68
2013;Pernambuco;Março;39
2014;Pernambuco;Março;32
2015;Pernambuco;Março;27
2016;Pernambuco;Março;3
2017;Pernambuco;Março;9
2018;Pernambuco;Março;8
2019;Pernambuco;Março;15
2020;Pernambuco;Março;14
2021;Pernambuco;Março;47
2022;Pernambuco;Março;10
2012;Pernambuco;Abril;49
2013;Pernambuco;Abril;8
2014;Pernambuco;Abril;7
2015;Pernambuco;Abril;26
2016;Pernambuco;Abril;8
2017;Pernambuco;Abril;8
2018;Pernambuco;Abril;5
2019;Pernambuco;Abril;11
2020;Pernambuco;Abril;11
2021;Pernambuco;Abril;25
2022;Pernambuco;Abril;5
2012;Pernambuco;Maio;44
2013;Pernambuco;Maio;9
2014;Pernambuco;Maio;2
2015;Pernambuco;Maio;12
2016;Pernambuco;Maio;3
2017;Pernambuco;Maio;13
2018;Pernambuco;Maio;2
2019;Pernambuco;Maio;12
2020;Pernambuco;Maio;2
2021;Pernambuco;Maio;3
2022;Pernambuco;Maio;13
2012;Pernambuco;Junho;16
2013;Pernambuco;Junho;14
2014;Pernambuco;Junho;4
2015;Pernambuco;Junho;2
2016;Pernambuco;Junho;4
2017;Pernambuco;Junho;4
2018;Pernambuco;Junho;13
2019;Pernambuco;Junho;5
2020;Pernambuco;Junho;10
2021;Pernambuco;Junho;19
2022;Pernambuco;Junho;5
2012;Pernambuco;Julho;11
2013;Pernambuco;Julho;7
2014;Pernambuco;Julho;11
2015;Pernambuco;Julho;12
2016;Pernambuco;Julho;14
2017;Pernambuco;Julho;1
2018;Pernambuco;Julho;6
2019;Pernambuco;Julho;5
2020;Pernambuco;Julho;16
2021;Pernambuco;Julho;14
2022;Pernambuco;Julho;11
2012;Pernambuco;Agosto;25
2013;Pernambuco;Agosto;14
2014;Pernambuco;Agosto;16
2015;Pernambuco;Agosto;21
2016;Pernambuco;Agosto;33
2017;Pernambuco;Agosto;18
2018;Pernambuco;Agosto;35
2019;Pernambuco;Agosto;14
2020;Pernambuco;Agosto;18
2021;Pernambuco;Agosto;41
2022;Pernambuco;Agosto;35
2012;Pernambuco;Setembro;171
2013;Pernambuco;Setembro;136
2014;Pernambuco;Setembro;60
2015;Pernambuco;Setembro;107
2016;Pernambuco;Setembro;137
2017;Pernambuco;Setembro;54
2018;Pernambuco;Setembro;95
2019;Pernambuco;Setembro;76
2020;Pernambuco;Setembro;128
2021;Pernambuco;Setembro;156
2022;Pernambuco;Setembro;171
2012;Pernambuco;Outubro;265
2013;Pernambuco;Outubro;157
2014;Pernambuco;Outubro;172
2015;Pernambuco;Outubro;172
2016;Pernambuco;Outubro;274
2017;Pernambuco;Outubro;216
2018;Pernambuco;Outubro;215
2019;Pernambuco;Outubro;204
2020;Pernambuco;Outubro;270
2021;Pernambuco;Outubro;367
2022;Pernambuco;Outubro;407
2012;Pernambuco;Novembro;177
2013;Pernambuco;Novembro;102
2014;Pernambuco;Novembro;97
2015;Pernambuco;Novembro;263
2016;Pernambuco;Novembro;196
2017;Pernambuco;Novembro;91
2018;Pernambuco;Novembro;186
2019;Pernambuco;Novembro;246
2020;Pernambuco;Novembro;214
2021;Pernambuco;Novembro;278
2022;Pernambuco;Novembro;264
2012;Pernambuco;Dezembro;123
2013;Pernambuco;Dezembro;121
2014;Pernambuco;Dezembro;91
2015;Pernambuco;Dezembro;159
2016;Pernambuco;Dezembro;158
2017;Pernambuco;Dezembro;73
2018;Pernambuco;Dezembro;115
2019;Pernambuco;Dezembro;176
2020;Pernambuco;Dezembro;193
2021;Pernambuco;Dezembro;120
2022;Pernambuco;Dezembro;158
2012;Piaui;Janeiro;100
2013;Piaui;Janeiro;78
2014;Piaui;Janeiro;91
2015;Piaui;Janeiro;77
2016;Piaui;Janeiro;93
2017;Piaui;Janeiro;82
2018;Piaui;Janeiro;84
2019;Piaui;Janeiro;115
2020;Piaui;Janeiro;47
2021;Piaui;Janeiro;79
2022;Piaui;Janeiro;70
2012;Piaui;Fevereiro;38
2013;Piaui;Fevereiro;70
2014;Piaui;Fevereiro;12
2015;Piaui;Fevereiro;24
2016;Piaui;Fevereiro;83
2017;Piaui;Fevereiro;19
2018;Piaui;Fevereiro;8
2019;Piaui;Fevereiro;35
2020;Piaui;Fevereiro;38
2021;Piaui;Fevereiro;42
2022;Piaui;Fevereiro;34
2012;Piaui;Março;74
2013;Piaui;Março;15
2014;Piaui;Março;78
2015;Piaui;Março;31
2016;Piaui;Março;33
2017;Piaui;Março;28
2018;Piaui;Março;43
2019;Piaui;Março;46
2020;Piaui;Março;28
2021;Piaui;Março;32
2022;Piaui;Março;17
2012;Piaui;Abril;120
2013;Piaui;Abril;34
2014;Piaui;Abril;57
2015;Piaui;Abril;41
2016;Piaui;Abril;31
2017;Piaui;Abril;23
2018;Piaui;Abril;11
2019;Piaui;Abril;25
2020;Piaui;Abril;35
2021;Piaui;Abril;60
2022;Piaui;Abril;35
2012;Piaui;Maio;352
2013;Piaui;Maio;49
2014;Piaui;Maio;131
2015;Piaui;Maio;57
2016;Piaui;Maio;53
2017;Piaui;Maio;45
2018;Piaui;Maio;118
2019;Piaui;Maio;67
2020;Piaui;Maio;54
2021;Piaui;Maio;169
2022;Piaui;Maio;178
2012;Piaui;Junho;865
2013;Piaui;Junho;272
2014;Piaui;Junho;372
2015;Piaui;Junho;268
2016;Piaui;Junho;151
2017;Piaui;Junho;142
2018;Piaui;Junho;382
2019;Piaui;Junho;340
2020;Piaui;Junho;148
2021;Piaui;Junho;473
2022;Piaui;Junho;256
2012;Piaui;Julho;1.746
2013;Piaui;Julho;371
2014;Piaui;Julho;1.151
2015;Piaui;Julho;706
2016;Piaui;Julho;746
2017;Piaui;Julho;510
2018;Piaui;Julho;1.067
2019;Piaui;Julho;561
2020;Piaui;Julho;511
2021;Piaui;Julho;868
2022;Piaui;Julho;561
2012;Piaui;Agosto;3.615
2013;Piaui;Agosto;1.033
2014;Piaui;Agosto;2.169
2015;Piaui;Agosto;2.039
2016;Piaui;Agosto;1730
2017;Piaui;Agosto;1.257
2018;Piaui;Agosto;2.479
2019;Piaui;Agosto;2.117
2020;Piaui;Agosto;919
2021;Piaui;Agosto;2350
2022;Piaui;Agosto;1.659
2012;Piaui;Setembro;4.057
2013;Piaui;Setembro;2.301
2014;Piaui;Setembro;2.494
2015;Piaui;Setembro;5.151
2016;Piaui;Setembro;1.344
2017;Piaui;Setembro;2.192
2018;Piaui;Setembro;2.678
2019;Piaui;Setembro;3.137
2020;Piaui;Setembro;2.772
2021;Piaui;Setembro;5.106
2022;Piaui;Setembro;2.731
2012;Piaui;Outubro;2.639
2013;Piaui;Outubro;1.241
2014;Piaui;Outubro;1.657
2015;Piaui;Outubro;4
2016;Piaui;Outubro;2.544
2017;Piaui;Outubro;2.342
2018;Piaui;Outubro;1.641
2019;Piaui;Outubro;2.671
2020;Piaui;Outubro;3.437
2021;Piaui;Outubro;2.652
2022;Piaui;Outubro;4.071
2012;Piaui;Novembro;530
2013;Piaui;Novembro;590
2014;Piaui;Novembro;670
2015;Piaui;Novembro;842
2016;Piaui;Novembro;1130
2017;Piaui;Novembro;552
2018;Piaui;Novembro;591
2019;Piaui;Novembro;1.211
2020;Piaui;Novembro;880
2021;Piaui;Novembro;682
2022;Piaui;Novembro;859
2012;Piaui;Dezembro;401
2013;Piaui;Dezembro;430
2014;Piaui;Dezembro;328
2015;Piaui;Dezembro;603
2016;Piaui;Dezembro;365
2017;Piaui;Dezembro;465
2018;Piaui;Dezembro;329
2019;Piaui;Dezembro;569
2020;Piaui;Dezembro;448
2021;Piaui;Dezembro;232
2022;Piaui;Dezembro;395
2012;Rio de Janeiro;Janeiro;6
2013;Rio de Janeiro;Janeiro;5
2014;Rio de Janeiro;Janeiro;26
2015;Rio de Janeiro;Janeiro;86
2016;Rio de Janeiro;Janeiro;1
2017;Rio de Janeiro;Janeiro;12
2018;Rio de Janeiro;Janeiro;4
2019;Rio de Janeiro;Janeiro;36
2020;Rio de Janeiro;Janeiro;7
2021;Rio de Janeiro;Janeiro;18
2022;Rio de Janeiro;Janeiro;16
2012;Rio de Janeiro;Fevereiro;12
2013;Rio de Janeiro;Fevereiro;15
2014;Rio de Janeiro;Fevereiro;107
2015;Rio de Janeiro;Fevereiro;28
2016;Rio de Janeiro;Fevereiro;6
2017;Rio de Janeiro;Fevereiro;24
2018;Rio de Janeiro;Fevereiro;0
2019;Rio de Janeiro;Fevereiro;21
2020;Rio de Janeiro;Fevereiro;10
2021;Rio de Janeiro;Fevereiro;4
2022;Rio de Janeiro;Fevereiro;4
2012;Rio de Janeiro;Março;12
2013;Rio de Janeiro;Março;3
2014;Rio de Janeiro;Março;25
2015;Rio de Janeiro;Março;15
2016;Rio de Janeiro;Março;3
2017;Rio de Janeiro;Março;8
2018;Rio de Janeiro;Março;5
2019;Rio de Janeiro;Março;3
2020;Rio de Janeiro;Março;6
2021;Rio de Janeiro;Março;16
2022;Rio de Janeiro;Março;30
2012;Rio de Janeiro;Abril;5
2013;Rio de Janeiro;Abril;4
2014;Rio de Janeiro;Abril;9
2015;Rio de Janeiro;Abril;8
2016;Rio de Janeiro;Abril;40
2017;Rio de Janeiro;Abril;11
2018;Rio de Janeiro;Abril;2
2019;Rio de Janeiro;Abril;0
2020;Rio de Janeiro;Abril;10
2021;Rio de Janeiro;Abril;7
2022;Rio de Janeiro;Abril;12
2012;Rio de Janeiro;Maio;12
2013;Rio de Janeiro;Maio;14
2014;Rio de Janeiro;Maio;13
2015;Rio de Janeiro;Maio;16
2016;Rio de Janeiro;Maio;24
2017;Rio de Janeiro;Maio;16
2018;Rio de Janeiro;Maio;7
2019;Rio de Janeiro;Maio;18
2020;Rio de Janeiro;Maio;26
2021;Rio de Janeiro;Maio;15
2022;Rio de Janeiro;Maio;20
2012;Rio de Janeiro;Junho;11
2013;Rio de Janeiro;Junho;21
2014;Rio de Janeiro;Junho;39
2015;Rio de Janeiro;Junho;21
2016;Rio de Janeiro;Junho;30
2017;Rio de Janeiro;Junho;41
2018;Rio de Janeiro;Junho;32
2019;Rio de Janeiro;Junho;47
2020;Rio de Janeiro;Junho;40
2021;Rio de Janeiro;Junho;25
2022;Rio de Janeiro;Junho;45
2012;Rio de Janeiro;Julho;62
2013;Rio de Janeiro;Julho;60
2014;Rio de Janeiro;Julho;44
2015;Rio de Janeiro;Julho;67
2016;Rio de Janeiro;Julho;127
2017;Rio de Janeiro;Julho;59
2018;Rio de Janeiro;Julho;74
2019;Rio de Janeiro;Julho;141
2020;Rio de Janeiro;Julho;130
2021;Rio de Janeiro;Julho;129
2022;Rio de Janeiro;Julho;180
2012;Rio de Janeiro;Agosto;76
2013;Rio de Janeiro;Agosto;83
2014;Rio de Janeiro;Agosto;185
2015;Rio de Janeiro;Agosto;141
2016;Rio de Janeiro;Agosto;219
2017;Rio de Janeiro;Agosto;124
2018;Rio de Janeiro;Agosto;29
2019;Rio de Janeiro;Agosto;157
2020;Rio de Janeiro;Agosto;162
2021;Rio de Janeiro;Agosto;165
2022;Rio de Janeiro;Agosto;181
2012;Rio de Janeiro;Setembro;173
2013;Rio de Janeiro;Setembro;118
2014;Rio de Janeiro;Setembro;315
2015;Rio de Janeiro;Setembro;74
2016;Rio de Janeiro;Setembro;177
2017;Rio de Janeiro;Setembro;439
2018;Rio de Janeiro;Setembro;65
2019;Rio de Janeiro;Setembro;208
2020;Rio de Janeiro;Setembro;237
2021;Rio de Janeiro;Setembro;105
2022;Rio de Janeiro;Setembro;219
2012;Rio de Janeiro;Outubro;162
2013;Rio de Janeiro;Outubro;37
2014;Rio de Janeiro;Outubro;473
2015;Rio de Janeiro;Outubro;78
2016;Rio de Janeiro;Outubro;28
2017;Rio de Janeiro;Outubro;182
2018;Rio de Janeiro;Outubro;13
2019;Rio de Janeiro;Outubro;70
2020;Rio de Janeiro;Outubro;52
2021;Rio de Janeiro;Outubro;5
2022;Rio de Janeiro;Outubro;33
2012;Rio de Janeiro;Novembro;12
2013;Rio de Janeiro;Novembro;26
2014;Rio de Janeiro;Novembro;31
2015;Rio de Janeiro;Novembro;3
2016;Rio de Janeiro;Novembro;17
2017;Rio de Janeiro;Novembro;39
2018;Rio de Janeiro;Novembro;2
2019;Rio de Janeiro;Novembro;5
2020;Rio de Janeiro;Novembro;9
2021;Rio de Janeiro;Novembro;11
2022;Rio de Janeiro;Novembro;5
2012;Rio de Janeiro;Dezembro;8
2013;Rio de Janeiro;Dezembro;6
2014;Rio de Janeiro;Dezembro;16
2015;Rio de Janeiro;Dezembro;5
2016;Rio de Janeiro;Dezembro;5
2017;Rio de Janeiro;Dezembro;4
2018;Rio de Janeiro;Dezembro;13
2019;Rio de Janeiro;Dezembro;6
2020;Rio de Janeiro;Dezembro;4
2021;Rio de Janeiro;Dezembro;2
2022;Rio de Janeiro;Dezembro;2
2012;Rio Grande do Norte;Janeiro;66
2013;Rio Grande do Norte;Janeiro;23
2014;Rio Grande do Norte;Janeiro;32
2015;Rio Grande do Norte;Janeiro;38
2016;Rio Grande do Norte;Janeiro;13
2017;Rio Grande do Norte;Janeiro;27
2018;Rio Grande do Norte;Janeiro;23
2019;Rio Grande do Norte;Janeiro;20
2020;Rio Grande do Norte;Janeiro;37
2021;Rio Grande do Norte;Janeiro;63
2022;Rio Grande do Norte;Janeiro;15
2012;Rio Grande do Norte;Fevereiro;16
2013;Rio Grande do Norte;Fevereiro;26
2014;Rio Grande do Norte;Fevereiro;7
2015;Rio Grande do Norte;Fevereiro;14
2016;Rio Grande do Norte;Fevereiro;2
2017;Rio Grande do Norte;Fevereiro;13
2018;Rio Grande do Norte;Fevereiro;6
